Unit,TCode,Rent,Base,Criteria,Grace_Period,Legal_Rent,Deposit,From,To,Move_In,Move_Out,Months_Occupied,Last_Renewal,Tenant_Status,Roommates-Y,ACH-Y
4-3F,t0009027,"1,609.00",5.00,% Monthly Rent,5.00,"2,435.23","2,435.23 ", 06/25/16, 06/30/18, 06/25/16, 2/7/17,8,,Past,N,N
4-3F,t0010887,"1,775.00",5.00,% Monthly Rent,5.00,"2,435.23","2,435.23 ", 05/31/17, 05/31/19, 05/31/17, 10/23/17,5,,Past,N,N
4-3F,t0011887,"1,864.82",50.00,Flat Amount,5.00,"2,435.23","2,435.23 ", 10/24/17, 10/31/19, 10/24/17,,-1434,,Current,Y,Y
4-3H,t0006229,0.00,5.00,% Owed-month,5.00,"4,397.05",, 03/31/15, 03/31/17, 03/31/15,,-1403,,Applicant,N,N
4-3H,t0007013,0.00,5.00,% Owed-month,5.00,"4,397.05",0.00 , 08/31/15, 08/31/17, 08/31/15,,-1408,,Applicant,N,N
4-3H,t0007219,"2,050.00",5.00,% Monthly Rent,5.00,"4,397.05","3,964.60 ", 10/01/16, 09/30/18, 09/19/15, 6/4/18,33, 10/24/16,Past,Y,N
4-3H,t0013865,"2,163.00",50.00,Flat Amount,5.00,"4,397.05","4,397.05 ", 08/01/18, 07/31/20, 08/01/18,,-1444,,Current,Y,Y
4-3J,t0009194,"1,657.27",5.00,% Monthly Rent,5.00,"3,833.53",0.00 , 06/27/16, 06/30/18, 06/27/16, 5/30/18,23,,Past,N,N
4-3J,t0013821,"1,629.00",5.00,% Monthly Rent,5.00,"3,833.53","3,258.00 ", 08/01/18, 07/31/20, 08/01/18, 12/31/18,5,,Past,Y,N
4-3J,t0014646,"1,677.87",50.00,Flat Amount,5.00,"3,833.53","3,258.00 ", 01/01/19, 12/31/20, 01/01/19,,-1449,,Current,Y,Y
4-3K,t0007687,0.00,5.00,% Owed-month,5.00,"2,922.93",0.00 , 12/31/15, 12/31/17, 12/31/15,,-1412,,Applicant,N,N
4-3K,t0008246,0.00,5.00,% Owed-month,5.00,"2,922.93",0.00 , 03/31/16, 03/31/18, 03/31/16,,-1415,,Applicant,N,N
4-3K,t0008839,0.00,5.00,% Owed-month,5.00,"2,922.93",0.00 , 05/31/16, 05/31/18, 05/31/16,,-1417,,Applicant,N,N
4-3K,t0008895,"1,655.00",5.00,% Monthly Rent,5.00,"2,922.93",0.00 , 06/01/16, 05/31/18, 06/01/16, 5/26/18,24,,Past,Y,N
4-3K,t0013691,"1,677.87",50.00,Flat Amount,5.00,"2,922.93","2,922.93 ", 07/06/18, 07/31/20, 07/06/18,,-1443,,Current,Y,Y
4-3L,t0010352,"1,550.00",5.00,% Monthly Rent,5.00,"3,046.27",0.00 , 02/27/17, 02/28/19, 02/27/17, 6/30/18,16,,Past,N,N
4-3L,t0013618,"1,625.00",50.00,Flat Amount,5.00,"3,046.27","3,046.27 ", 07/01/18, 06/30/20, 07/01/18,,-1443,,Current,N,Y
4-SCQ,t0008179,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Past,N,N
4-SCQ,t0008678,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Current,N,N
4-SCQ,t0010836,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/17,, 01/01/17,,-1425,,Current,N,N
5-1C,t0006330,"2,489.31",5.00,% Monthly Rent,5.00,"2,796.30","2,348.41 ", 04/15/15, 04/30/17, 04/15/15, 4/18/17,24,,Past,Y,N
5-1C,t0010933,0.00,5.00,% Owed-month,5.00,"2,796.30",, 05/31/17, 05/31/19, 05/31/17,,-1430,,Applicant,N,N
5-1C,t0010958,0.00,5.00,% Owed-month,5.00,"2,796.30",, 06/30/17, 06/30/19, 06/30/17,,-1431,,Applicant,N,N
5-1C,t0010992,0.00,5.00,% Owed-month,5.00,"2,796.30",, 06/30/17, 06/30/19, 06/30/17,,-1431,,Applicant,N,N
5-1C,t0011023,0.00,5.00,% Owed-month,5.00,"2,796.30",, 06/30/17, 06/30/19, 06/30/17,,-1431,,Applicant,N,N
5-1C,t0011057,"1,455.00",50.00,Flat Amount,5.00,"2,796.30","2,796.30 ", 07/01/19, 06/30/21, 06/22/17,,-1430, 04/04/19,Current,N,Y
5-1E,t0006601,"1,450.00",5.00,% Monthly Rent,5.00,"4,219.83","4,240.50 ", 06/01/17, 05/31/18, 05/30/15, 5/31/18,37, 06/01/17,Past,Y,N
5-1E,t0013975,"1,399.00",50.00,Flat Amount,5.00,"4,219.83","4,219.83 ", 08/09/18, 08/31/20, 08/09/18,,-1444,,Current,Y,Y
5-1E,t0013950,0.00,5.00,% Owed-month,5.00,"4,219.83",, 08/31/18, 08/31/20, 08/31/18,,-1445,,Applicant,N,N
5-1G,t0009816,0.00,5.00,% Owed-month,5.00,"3,809.83",, 09/30/16, 09/30/18, 09/30/16,,-1421,,Applicant,N,N
5-1G,t0010439,0.00,5.00,% Owed-month,5.00,"3,809.83",, 02/28/17, 02/28/19, 02/28/17,,-1426,,Applicant,N,N
5-1G,t0010471,0.00,5.00,% Owed-month,5.00,"3,809.83",, 02/28/17, 02/28/19, 02/28/17,,-1426,,Applicant,N,N
5-1G,t0010393,"1,775.00",50.00,Flat Amount,5.00,"3,809.83","3,716.91 ", 04/01/19, 03/31/21, 03/29/17,,-1427, 03/01/19,Current,Y,Y
5-1H,t0008073,"1,708.50",5.00,% Monthly Rent,5.00,"2,592.98","2,095.08 ", 02/29/16, 02/28/18, 02/29/16, 1/27/17,11,,Past,Y,N
5-1H,t0010437,"1,650.00",5.00,% Monthly Rent,5.00,"2,592.98",0.00 , 03/01/18, 02/28/19, 02/25/17, 2/28/19,24, 02/17/18,Past,N,N
5-1H,t0015025,"1,799.00",50.00,Flat Amount,5.00,"2,592.98","2,592.98 ", 04/01/19, 03/31/21, 04/01/19,,-1452,,Current,Y,Y
5-1J,t0007966,0.00,5.00,% Owed-month,5.00,"4,752.93",, 01/31/16, 01/31/18, 01/31/16,,-1413,,Applicant,N,N
5-1J,t0008439,"1,699.00",5.00,% Monthly Rent,5.00,"4,752.93",0.00 , 03/29/16, 03/31/18, 03/29/16, 4/2/18,24,,Past,Y,N
5-1J,t0008234,0.00,5.00,% Owed-month,5.00,"4,752.93",, 03/31/16, 03/31/18, 03/31/16,,-1415,,Applicant,N,N
5-1J,t0008423,0.00,5.00,% Monthly Rent,5.00,"4,752.93",, 03/31/16, 03/31/18, 03/31/16,,-1415,,Applicant,N,N
5-1J,t0013470,"1,659.00",50.00,Flat Amount,5.00,"4,752.93","3,411.00 ", 06/01/19, 05/31/21, 05/30/18,,-1442, 05/02/19,Current,Y,Y
5-2B,t0009520,"1,965.00",50.00,Flat Amount,5.00,"2,716.20","2,716.20 ", 09/01/18, 08/31/20, 08/27/16,,-1420, 05/14/18,Current,Y,Y
5-2C,t0007474,0.00,5.00,% Owed-month,5.00,"4,041.28",, 11/30/15, 11/30/17, 11/30/15,,-1411,,Applicant,N,N
5-2C,t0007480,0.00,5.00,% Owed-month,5.00,"4,041.28",, 11/30/15, 11/30/17, 11/30/15,,-1411,,Denied,N,N
5-2C,t0007501,"1,699.00",50.00,Flat Amount,5.00,"4,041.28","1,767.39 ", 11/01/19, 10/31/21, 11/01/15,,-1410, 09/13/19,Current,Y,Y
5-2D,t0012203,"1,751.49",50.00,Flat Amount,5.00,"2,862.09","2,792.28 ", 01/01/20, 12/31/21, 01/01/18,,-1437, 11/18/19,Current,Y,Y
5-2J,t0008037,"1,665.63",5.00,% Monthly Rent,5.00,"3,851.56","3,444.54 ", 02/27/16, 02/28/18, 02/27/16, 4/22/16,2,,Past,Y,N
5-2J,t0008652,"1,834.86",5.00,% Monthly Rent,5.00,"3,851.56",0.00 , 04/23/16, 04/30/18, 04/23/16, 10/30/17,19,,Past,Y,N
5-2J,t0012307,"1,749.99",50.00,Flat Amount,5.00,"3,851.56","2,757.62 ", 02/01/20, 01/31/22, 01/25/18,,-1438, 11/21/19,Current,Y,Y
5-2K,t0011038,"1,750.00",5.00,% Monthly Rent,5.00,"3,000.96","2,927.77 ", 06/17/17, 06/30/19, 06/17/17, 11/28/17,5,,Past,Y,N
5-2K,t0012209,"1,914.06",5.00,% Monthly Rent,5.00,"3,000.96","2,927.77 ", 12/26/17, 12/31/19, 12/26/17, 1/30/18,1,,Past,Y,N
5-2K,t0012151,0.00,5.00,% Owed-month,5.00,"3,000.96",, 12/31/17, 12/31/19, 12/31/17,,-1437,,Applicant,N,N
5-2K,t0012800,"1,861.97",50.00,Flat Amount,5.00,"3,000.96","2,728.10 ", 03/01/20, 02/28/22, 02/26/18,,-1439, 01/28/20,Current,Y,Y
5-3D,t0009158,0.00,5.00,% Owed-month,5.00,"3,584.63",, 06/30/16, 06/30/18, 06/30/16,,-1418,,Applicant,N,N
5-3D,t0009164,0.00,5.00,% Owed-month,5.00,"3,584.63",, 06/30/16, 06/30/18, 06/30/16,,-1418,,Applicant,N,N
5-3D,t0009603,0.00,5.00,% Owed-month,5.00,"3,584.63",, 08/31/16, 08/31/18, 08/31/16,,-1420,,Applicant,N,N
5-3D,t0009606,0.00,5.00,% Owed-month,5.00,"3,584.63",, 08/31/16, 08/31/18, 08/31/16,,-1420,,Applicant,N,N
5-3D,t0009620,"1,690.00",50.00,Flat Amount,5.00,"3,584.63","3,414.48 ", 09/01/18, 08/31/20, 08/31/16,,-1420, 07/23/18,Current,Y,Y
5-3J,t0009599,"1,700.00",50.00,Flat Amount,5.00,"2,978.30","2,978.30 ", 09/01/18, 08/31/20, 08/22/16,,-1420, 07/27/18,Current,Y,Y
5-3K,t0010040,0.00,5.00,% Owed-month,5.00,"2,871.40",, 11/30/16, 11/30/18, 11/30/16,,-1423,,Applicant,N,N
5-3K,t0010233,"1,699.00",50.00,Flat Amount,5.00,"2,871.40","2,801.37 ", 02/01/19, 01/31/21, 01/27/17,,-1425, 11/16/18,Current,Y,Y
5-4C,t0011290,0.00,5.00,% Owed-month,5.00,"2,986.65",, 08/31/17, 08/31/19, 08/31/17,,-1433,,Applicant,N,N
5-4C,t0011452,0.00,5.00,% Owed-month,5.00,"2,986.65",, 08/31/17, 08/31/19, 08/31/17,,-1433,,Applicant,N,N
5-4C,t0011462,0.00,5.00,% Owed-month,5.00,"2,986.65",, 08/31/17, 08/31/19, 08/31/17,,-1433,,Applicant,N,N
5-4C,t0011489,"1,470.00",50.00,Flat Amount,5.00,"2,986.65",0.00 , 09/01/17, 08/31/19, 09/01/17, 9/2/19,24,,Past,Y,N
5-4C,t0016061,"1,601.25",5.00,% Owed-month,5.00,"2,986.65","2,986.65 ", 09/23/19, 09/30/20, 09/23/19,,-1458,,Current,Y,Y
5-4C,t0016030,0.00,5.00,% Owed-month,5.00,"2,986.65",0.00 , 09/30/19, 09/30/21, 09/30/19,,-1458,,Applicant,N,N
5-4C,t0016049,0.00,5.00,% Owed-month,5.00,"2,986.65",0.00 , 09/30/19, 09/30/21, 09/30/19,,-1458,,Applicant,N,N
5-4D,t0013636,0.00,5.00,% Owed-month,5.00,"5,061.74",, 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
5-4D,t0013791,"1,673.95",50.00,Flat Amount,5.00,"5,061.74","3,298.00 ", 08/15/18, 08/31/20, 08/15/18,,-1444,,Current,Y,Y
